"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-04 18:40:02",1757011202694,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"pbkd9-1757011202642-0d7afb9072c6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",6,"iad1",133,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B0EMM6MM6DM814GW9A355V","gf0R1V1l41Pj",1
"2025-09-04 18:39:18",1757011158195,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",-1,"8jn4t-1757011149398-7bde44a6fb2e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",-1,"iad1",-1,-1,"{""event"":""analysis_path"",""mode"":""retrieval"",""assistant"":true,""vectorStoreId"":""vs_68af2fae5d048191977dab2d25e9227d"",""filename"":""ТЗ_внедрение OCR v311022.docx"",""mimetype"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document""}","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B0D1DD8G8CXTGCTS3CMJAJ","",-1
"2025-09-04 18:39:10",1757011150006,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",200,"8jn4t-1757011149398-7bde44a6fb2e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",51530,"iad1",133,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B0D1DD8G8CXTGCTS3CMJAJ","gf0R1V1l41Pj",1
"2025-09-04 18:37:25",1757011045774,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",-1,"mz9np-1757011035431-622e03685a85","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",-1,"iad1",-1,-1,"{""event"":""analysis_path"",""mode"":""retrieval"",""assistant"":true,""vectorStoreId"":""vs_68af2fae5d048191977dab2d25e9227d"",""filename"":""ТЗ_внедрение OCR v311022.docx"",""mimetype"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document""}","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B09J3MZCZP018VMHJMSDTJ","",-1
"2025-09-04 18:37:16",1757011036024,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",200,"mz9np-1757011035431-622e03685a85","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",113173,"iad1",133,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B09J3MZCZP018VMHJMSDTJ","gf0R1V1l41Pj",1
"2025-09-04 18:37:01",1757011021113,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",-1,"nwjrh-1757011019735-daceb90dc2dd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: 📡 auto-backup env with Radar: https://dotenvx.com/radar","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B0923H3E1X0T8JM9CXG9DW","",-1
"2025-09-04 18:37:01",1757011021086,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/status","GET","",-1,"qf8dx-1757011019735-0a2d6a1b5d1a","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: ⚙️  write to custom object with { processEnv: myObject }","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B09241Z1YPMXTMA1NJ7QE9","",-1
"2025-09-04 18:36:59",1757011019905,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"qf8dx-1757011019735-0a2d6a1b5d1a","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",18,"iad1",118,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B09241Z1YPMXTMA1NJ7QE9","YczivndUylhk",1
"2025-09-04 18:36:59",1757011019889,"ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"nwjrh-1757011019735-daceb90dc2dd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-kzowlmxap-evgenias-projects-8a10f913.vercel.app","dpl_57D62ukwkt94ioZVSHYpFG6J5aYr",33,"iad1",120,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4B0923H3E1X0T8JM9CXG9DW","gf0R1V1l41Pj",1
