"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-05 10:50:42",1757069442743,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"jjb8v-1757069442693-0ab658f05b5e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",5,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZZNQ1SCM9DDV0M0EWKRQ","SN4QhVVyEA4V",1
"2025-09-05 10:50:41",1757069441416,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"642q8-1757069441369-bf83a9a5fb4f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",7,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZYC80VX8CERHZBPD7AD4","SN4QhVVyEA4V",1
"2025-09-05 10:50:40",1757069440236,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"26smz-1757069440186-013a42999f56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",5,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZX7CEXE5TYJ17TNJKQC3","SN4QhVVyEA4V",1
"2025-09-05 10:50:39",1757069439048,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"lhww7-1757069439002-71890fc73a00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",8,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZW28F3Z8G87DMCEGFXQJ","SN4QhVVyEA4V",1
"2025-09-05 10:50:37",1757069437864,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"547zs-1757069437814-ee8dd5a57d31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",8,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZTX8NJPKZRQ4T9MACWP3","SN4QhVVyEA4V",1
"2025-09-05 10:50:36",1757069436674,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"sgqgk-1757069436626-93299037035b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",8,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZSR2AVWJK0XZE2GVC31A","SN4QhVVyEA4V",1
"2025-09-05 10:50:34",1757069434790,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/notion-status/%C3%90%C2%A2%C3%90%C2%97_%C3%90%C2%B2%C3%90%C2%BD%C3%90%C2%B5%C3%90%C2%B4%C3%91%C2%80%C3%90%C2%B5%C3%90%C2%BD%C3%90%C2%B8%C3%90%C2%B5%20OCR%20v311022_1757069434176.json","GET","",200,"26smz-1757069434626-67a6495baeb7","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",6,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZQX6M9HEXZ7GMMCPNFW0","SN4QhVVyEA4V",1
"2025-09-05 10:50:34",1757069434678,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"lhww7-1757069434625-d08ed441bf76","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",9,"iad1",131,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQZQSPYYNQKX2VEXP1VJB3","SN4QhVVyEA4V",1
"2025-09-05 10:49:53",1757069393389,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",-1,"547zs-1757069384718-c4381b8488f2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",-1,"iad1",-1,-1,"{""event"":""vector_store_files"",""vectorStoreId"":""vs_68af2fae5d048191977dab2d25e9227d"",""status"":""completed"",""counts"":{""in_progress"":0,""completed"":1,""failed"":0,""cancelled"":0,""total"":1},""totalFiles"":13,""fileIds"":[""file-UTkuTfje8K5tvEkor9CiH9"",""file-VHnYHa6m2uYTtGV8ydRmf9"",""file-8j1XtAS9vRsMp6hdyRkYFT"",""file-Q1usESa3scbTPG1eP1fj2p"",""file-4KGV3fC5cmFgC5Jmy41k38"",""file-E4ybGy3aPLnPGcQDVNBaRU"",""file-8kn9FXBgdnQm7vRMuK9mWZ"",""file-S6TF85Wx3MNqJhTEuxYCYF"",""file-DqJRWd8cXowR9v9Mw2hPon"",""file-GAWomH5P15pH5Xk1Tj6MgF"",""file-LJQH4UyxrFi1yfaW5xzEnm"",""file-PkMJ6TQFkB6sGEHfG4tS9E"",""file-DJLkRZ519p1ycvGGxhmW25""]}","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQY7J8TX0QG695ZY9D3Q2S","",-1
"2025-09-05 10:49:53",1757069393389,"ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app/api/upload","POST","",-1,"547zs-1757069384718-c4381b8488f2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mfufu5bv8-evgenias-projects-8a10f913.vercel.app","dpl_4LFVpDpXvZwudhMyc4PYp8XLpzN6",-1,"iad1",-1,-1,"{""event"":""analysis_path"",""mode"":""retrieval"",""assistant"":true,""vectorStoreId"":""vs_68af2fae5d048191977dab2d25e9227d"",""filename"":""ТЗ_внедрение OCR v311022.docx"",""mimetype"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document""}","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CQY7J8TX0QG695ZY9D3Q2S","",-1
