"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-05 12:16:31",1757074591180,"ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"lggpf-1757074591101-6c1814385c22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","dpl_48ni4BVGWqKdBzqveAukUm9sCwcV",22,"iad1",121,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWX3ECHKSVFN4A33HAPBG0","GpWcQbTV28w9",1
"2025-09-05 12:16:07",1757074567527,"ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",-1,"sgj58-1757074567441-c73556f3ebac","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","dpl_48ni4BVGWqKdBzqveAukUm9sCwcV",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWCAF8W5EP8R2EH90V8ZW","",-1
"2025-09-05 12:16:07",1757074567504,"ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"tcrd8-1757074567441-4008dd8a7535","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","dpl_48ni4BVGWqKdBzqveAukUm9sCwcV",21,"iad1",120,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWCAGBHVDB2ASKE1NQCV3","GpWcQbTV28w9",1
"2025-09-05 12:16:07",1757074567503,"ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"sgj58-1757074567441-c73556f3ebac","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","dpl_48ni4BVGWqKdBzqveAukUm9sCwcV",45,"iad1",118,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWCAF8W5EP8R2EH90V8ZW","W87uDB7DBtuY",1
"2025-09-05 12:16:06",1757074566834,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"65ghj-1757074566691-b07ef86bf2c9","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",6,"iad1",130,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWBNJTCBXCP5CZ25F1H5Z","wjI7TxkEIWGO",1
"2025-09-05 12:16:06",1757074566786,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"4szjk-1757074566597-9c43df9d8f01","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",6,"iad1",130,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWBM3TCR2736N6Z4P1AGC","wjI7TxkEIWGO",1
"2025-09-05 12:16:06",1757074566757,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/status","GET","",-1,"c2xbh-1757074566597-c28f5c67b115","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWBJJPB506JC6QY3Y9JKW","",-1
"2025-09-05 12:16:06",1757074566739,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"rnmx6-1757074566691-e2f93ef6540f","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",5,"iad1",130,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWBJKJ3J30GCSCWMTQFWB","wjI7TxkEIWGO",1
"2025-09-05 12:16:06",1757074566738,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"c2xbh-1757074566597-c28f5c67b115","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",100,"iad1",130,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWWBJJPB506JC6QY3Y9JKW","wjI7TxkEIWGO",1
"2025-09-05 12:12:52",1757074372336,"ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app/api/status","GET","",-1,"zr8bp-1757074371950-03665cc47918","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-cgfx82htv-evgenias-projects-8a10f913.vercel.app","dpl_48ni4BVGWqKdBzqveAukUm9sCwcV",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: ⚙️  write to custom object with { processEnv: myObject }","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4CWPDQ3RXEAPHN2G6CJ2T6B","",-1
