"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-08-29 15:09:59",1756480199672,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"2m9lk-1756480199625-6d4243082497","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",448,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61PZREA25YMMHJACR9R04","IgZKVXmoy2HJ",1
"2025-08-29 15:09:56",1756480196380,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"ghjf8-1756480196328-28d38955c851","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",2070,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61KRWBG8A0WJYNDF2GFAH","IgZKVXmoy2HJ",1
"2025-08-29 15:09:54",1756480194790,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"spvfx-1756480194739-68226fa2c4fd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",414,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61J763VJBX223N18E1BZ7","IgZKVXmoy2HJ",1
"2025-08-29 15:09:53",1756480193384,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"gtjkq-1756480193332-e6ea9c5e39cf","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",236,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61GV8CD7YM86S9C5R5ATQ","IgZKVXmoy2HJ",1
"2025-08-29 15:09:51",1756480191822,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"gtjkq-1756480191774-0097b7600392","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",303,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61FAEBK82DPZFTM8ND3PZ","IgZKVXmoy2HJ",1
"2025-08-29 15:09:47",1756480187226,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"989fv-1756480187180-4cdee93a6f7b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",3019,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V61ATTAKZPW9Q5DE2DG771","IgZKVXmoy2HJ",1
"2025-08-29 15:09:44",1756480184719,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"sv2tc-1756480184673-0b919e2cbe1e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",1119,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V618CFKG1745NS3HCYDTQ3","IgZKVXmoy2HJ",1
"2025-08-29 15:09:41",1756480181671,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"z242p-1756480181623-d12d55cde2e2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",1150,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V615D7895W9SP0HHPG7RY6","IgZKVXmoy2HJ",1
"2025-08-29 15:09:39",1756480179178,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"ktfcp-1756480179121-573f3c9b6225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",1106,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V612ZAPHJWY8AQX0F7JQFM","IgZKVXmoy2HJ",1
"2025-08-29 15:09:37",1756480177656,"ai-docs-analyzer.vercel.app/api/notion-status/RFP_%C3%91%C2%81%C3%90%C2%B5%C3%91%C2%80%C3%90%C2%B2%C3%90%C2%B8%C3%91%C2%81%20%C3%90%C2%BE%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%84%C3%91%C2%80%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%BA%C3%90%C2%B8%20%C3%90%C2%B4%C3%90%C2%BE%C3%90%C2%BA%C3%91%C2%83%C3%90%C2%BC%C3%90%C2%B5%C3%90%C2%BD%C3%91%C2%82%C3%90%C2%BE%C3%90%C2%B2_1756480140514.json","GET","",200,"z242p-1756480177607-24ca1f249983","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer.vercel.app","ai-docs-analyzer.vercel.app","dpl_4HD6tNQVRnRuqdNb3BtFTLgY9HP3",331,"iad1",128,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K3V611FR4X56FYCXHA8T56QT","IgZKVXmoy2HJ",1
